sID	Target	1_0_1p_1	1_0_1t_1	1_0_u_1	1_1p_0_1	1_1p_1p_1	1_1p_1t_1	1_1p_u_1	1_1t_0_1	1_1t_1p_1	1_1t_1t_1	1_1t_u_1	1_u_0_1	1_u_1p_1	1_u_1t_1	1_u_u_1	u_0_1p_u	u_0_1t_u	u_0_u_u	u_1p_0_u	u_1p_1t_u	u_1p_u_u	u_1t_0_u	u_1t_1p_u	u_1t_u_u	u_u_0_u	u_u_1p_u	u_u_1t_u	u_u_u_u	Attention_Confirmation	Age	"Sex (1 = make; 2 = female; 3 = other; 4 = prefer not to say)"	Technical_issues	Duration (sek)
22	east	1	1	1	11	6	1	6	11	11	6	6	11	6	1	6	1	1	1	11	1	6	11	11	11	11	3	1	6	1	52	1	-99	953
23	west	1	1	1	11	6	6	6	11	6	6	6	11	6	6	6	1	1	2	11	6	6	11	6	6	11	6	6	6	1	47	2	-99	1331
24	east	1	1	1	11	6	2	6	11	10	6	7	11	6	4	6	1	1	1	11	2	8	11	10	8	11	5	4	6	1	56	2	N/A	2900
25	west	1	1	1	10	6	5	8	11	9	6	9	11	5	3	6	1	1	1	11	5	7	11	10	10	11	5	7	6	1	29	2	-99	924
26	east	1	1	1	11	6	5	6	11	8	6	8	11	6	4	6	1	1	1	11	5	6	11	10	8	11	4	4	6	1	28	1	-99	2189
27	west	1	1	1	11	6	1	9	11	11	6	11	11	3	1	6	1	1	6	11	2	10	11	11	11	11	1	1	6	1	34	1	None thank you.	1263
28	east	9	2	2	10	6	3	6	10	10	6	8	10	6	5	6	2	1	3	10	5	7	10	9	9	8	4	5	6	1	53	1	-99	1149
29	east	2	1	4	11	6	6	10	10	6	6	11	10	2	1	6	1	2	2	10	6	10	10	6	10	9	2	2	6	1	32	2	-99	511
30	east	1	1	3	11	6	1	9	11	11	6	11	11	6	4	6	1	1	6	11	1	7	11	11	10	11	6	4	6	1	49	2	-99	1065
31	west	1	1	1	11	6	6	6	11	6	6	6	11	6	6	6	1	1	1	11	6	6	11	6	6	11	6	5	6	1	27	2	None	1220
32	east	1	1	1	11	6	3	7	11	7	6	8	11	6	4	6	1	1	1	11	5	7	11	9	9	11	5	3	6	1	24	3	-99	1307
33	west	1	1	1	11	6	2	10	10	10	6	9	10	4	2	6	2	2	2	11	2	9	11	10	10	11	3	2	6	1	28	1	-99	732
34	west	1	5	4	11	6	10	11	10	4	6	6	9	1	6	6	5	5	6	11	9	11	10	6	6	9	4	4	6	1	31	2	-99	937
35	west	1	2	1	10	6	6	10	11	6	6	11	10	2	2	6	1	2	2	10	6	10	10	6	10	10	2	2	6	1	31	2	-99	1639
36	east	1	1	1	11	6	3	7	11	11	6	8	10	5	4	6	1	1	1	11	2	7	11	8	7	9	5	5	6	1	29	1	There were no issues.	1167
37	east	1	9	5	11	6	6	11	1	6	6	1	11	1	1	6	1	1	6	4	6	11	1	6	1	4	11	1	6	1	32	2	-99	1497
39	west	1	1	1	11	6	3	6	11	6	6	6	11	2	6	6	1	1	1	11	6	6	11	6	6	11	5	2	6	1	52	2	-99	862
40	east	6	1	6	9	6	3	6	10	10	6	9	7	6	3	6	3	2	5	6	2	6	7	8	8	8	4	5	6	1	58	2	none	1155
41	east	1	1	1	11	6	1	5	11	11	6	9	11	6	3	6	1	1	1	11	1	6	11	11	8	11	5	4	6	1	24	1	-99	747
42	west	1	1	1	11	6	1	6	11	11	6	9	11	6	3	6	1	1	1	11	1	6	11	11	9	11	6	3	6	1	40	1	-99	1846
43	east	1	1	1	4	6	1	4	11	11	6	11	11	8	1	6	1	1	1	11	1	7	11	11	11	11	4	1	6	1	38	2	-99	2371
44	west	1	1	1	11	6	11	6	11	11	6	7	11	6	1	6	1	1	1	11	2	6	11	11	9	11	6	6	6	1	32	1	-99	847
45	west	4	6	7	6	2	8	7	6	6	6	6	5	11	9	6	2	2	1	4	2	2	3	2	3	2	2	1	4	1	32	1	None.	1372
46	east	1	1	1	11	6	5	8	11	6	6	8	11	5	5	6	1	1	1	11	6	8	11	8	9	11	5	3	6	1	33	1	n/a	861
49	east	1	1	2	11	6	5	6	11	10	6	8	11	6	3	6	1	1	1	11	4	6	11	9	7	10	6	5	6	1	31	1	None	1048
50	west	1	1	1	11	6	2	5	11	10	6	7	11	4	5	6	1	1	1	11	2	5	11	10	6	11	7	6	6	1	26	1	-99	720
51	east	1	1	1	10	6	4	7	11	9	6	10	11	4	4	6	1	2	2	11	5	7	11	8	10	9	5	4	6	1	34	2	-99	700
52	west	1	1	1	10	6	6	8	11	6	6	8	11	4	4	6	1	1	1	11	6	8	11	6	8	11	4	4	6	1	53	1	-99	1201
53	west	1	1	1	11	6	5	6	11	7	6	7	11	6	5	6	1	1	1	11	5	7	11	7	7	11	6	5	6	1	44	2	-99	1461
56	east	1	1	1	11	6	6	6	11	6	6	6	11	6	6	6	1	1	1	11	6	6	11	6	6	11	6	6	6	1	29	2	-99	1435
57	west	1	1	1	11	6	4	5	11	8	6	9	11	7	5	6	1	1	1	11	5	7	11	7	8	11	5	5	6	1	19	2	-99	648
58	west	1	1	1	11	6	4	7	11	11	11	11	11	5	3	6	1	1	1	11	4	7	11	11	11	11	4	3	6	1	26	1	-99	775
59	west	1	11	1	11	6	4	8	11	9	6	11	11	4	1	6	1	1	1	11	3	9	11	9	6	11	4	1	6	1	31	1	-99	1808
60	east	1	1	1	11	6	4	7	11	8	6	8	11	7	5	6	1	1	1	11	6	7	11	7	9	11	5	4	6	1	27	2	-99	847
61	east	1	1	1	11	6	6	6	11	6	6	6	11	6	6	6	1	1	1	11	6	6	11	6	6	11	6	6	6	1	49	2	-99	985
